name,address,phone
Apollo Hospital, Bannerghatta Road Bengaluru, +918046310000
Fortis Hospital, Cunningham Road Bengaluru, +918041964444
Manipal Hospital, Old Airport Road Bengaluru, +918044444444
Narayana Health City, Bommasandra Bengaluru, +918061210000
Columbia Asia Hospital, Hebbal Bengaluru, +918041789100
Sakra World Hospital, Marathahalli Bengaluru, +918049633333
Aster CMI Hospital, Hebbal Bengaluru, +918043419999
St Johns Medical College Hospital, Koramangala Bengaluru, +918022065000
Victoria Hospital, KR Market Bengaluru, +918026701150
MS Ramaiah Memorial Hospital, Mathikere Bengaluru, +918023628888
City General Hospital,123 Main Street Hyderabad,040-12345678
Apollo Hospitals,Jubilee Hills Hyderabad,040-23456789
KIMS Hospital,Minister Road Secunderabad,040-34567890
Yashoda Hospital,Raj Bhavan Road Somajiguda,040-45678901
Care Hospital,Road No 1 Banjara Hills,040-56789012
